".","Freq"
"Campyloneurum nitidum",567
"Pleopeltis hirsutissima",475
"Anemia phyllitidis",450
"Psychotria suterella",440
"Mollinedia schottiana",432
"Pleopeltis pleopeltifolia",389
"Cyathea phalerata",388
"Peperomia tetraphylla",326
"Pecluma truncorum",314
"Anthurium gaudichaudianum",303
"Myrsine coriacea",299
"Ouratea parviflora",299
"Rudgea jasminoides",298
"Miconia cinerascens",294
"Microgramma squamulosa",293
"Pecluma recurvata",289
"Esenbeckia grandiflora",283
"Piper gaudichaudianum",282
"Nidularium innocentii",272
"Peperomia urocarpa",271
"Guarea macrophylla",270
"Guapira opposita",268
"Guatteria australis",268
"Marlierea eugeniopsoides",267
"Serpocaulon catharinae",257
"Endlicheria paniculata",255
"Psychotria leiocarpa",248
"Fuchsia regia",235
"Cupania vernalis",232
"Diplazium cristatum",231
"Dalbergia frutescens",230
"Leandra australis",227
"Rhipsalis teres",223
"Rumohra adiantiformis",222
"Clusia criuva",214
"Peperomia glabella",214
"Drimys brasiliensis",213
"Lastreopsis amplissima",213
"Anthurium scandens",210
"Coccocypselum lanceolatum",210
"Clethra scabra",209
"Vriesea carinata",209
"Myrsine umbellata",207
"Solanum variabile",207
"Nematanthus tessmannii",206
"Vriesea incurvata",206
"Ficus luschnathiana",202
"Myrceugenia myrcioides",202
"Peperomia corcovadensis",200
"Vandenboschia radicans",199
