"specie","freq. all","freq. cultivated"
"Campyloneurum nitidum",567,216
"Pleopeltis hirsutissima",475,208
"Anemia phyllitidis",450,185
"Psychotria suterella",440,172
"Mollinedia schottiana",432,171
"Pleopeltis pleopeltifolia",389,170
"Cyathea phalerata",388,148
"Peperomia tetraphylla",326,174
"Pecluma truncorum",314,130
"Anthurium gaudichaudianum",303,139
"Myrsine coriacea",299,108
"Ouratea parviflora",299,92
"Rudgea jasminoides",298,114
"Miconia cinerascens",294,95
"Microgramma squamulosa",293,132
"Pecluma recurvata",289,118
"Esenbeckia grandiflora",283,102
"Piper gaudichaudianum",282,115
"Nidularium innocentii",272,116
"Peperomia urocarpa",271,126
"Guarea macrophylla",270,107
"Guapira opposita",268,90
"Guatteria australis",268,80
"Marlierea eugeniopsoides",267,95
"Serpocaulon catharinae",257,0
"Endlicheria paniculata",255,93
"Psychotria leiocarpa",248,88
"Fuchsia regia",235,0
"Cupania vernalis",232,78
"Diplazium cristatum",231,79
"Dalbergia frutescens",230,0
"Leandra australis",227,0
"Rhipsalis teres",223,106
"Rumohra adiantiformis",222,87
"Clusia criuva",214,84
"Peperomia glabella",214,108
"Drimys brasiliensis",213,0
"Lastreopsis amplissima",213,81
"Anthurium scandens",210,90
"Coccocypselum lanceolatum",210,83
"Clethra scabra",209,0
"Vriesea carinata",209,0
"Myrsine umbellata",207,83
"Solanum variabile",207,0
"Nematanthus tessmannii",206,83
"Vriesea incurvata",206,0
"Ficus luschnathiana",202,0
"Myrceugenia myrcioides",202,0
"Peperomia corcovadensis",200,102
"Vandenboschia radicans",199,0
"Campyloneurum minus",0,94
"Microgramma vacciniifolia",0,87
"Blechnum brasiliense",0,86
"Piper aduncum",0,83
"Bertolonia mosenii",0,77
"Asplenium harpeodes",0,75
"Asplenium gastonis",0,74
"Didymochlaena truncatula",0,73
"Peperomia catharinae",0,73
"Piper solmsianum",0,73
"Asplenium mucronatum",0,71
"Cordiera concolor",0,71
